col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17
1,4,4,赚第一笔钱,"进入车站,点击旅客或货物上车,点击发车按钮，选择旅客或货物要到达的目的地，在点击发车，等待火车到站后将自动收取收益！",100,7,0,0,0,0,0,0,0,1,2,5688,
2,4,7,同城奖励,进入“火车车库”界面，选择一辆2个座位以上的火车，然后选择去相同目的地的旅客或货物，装满后发车即可，装满同目的地的旅客会有25%的收益加成。,1,0,0,0,0,0,0,0,0,1,2,5680,
3,4,8,铁路大亨之路1：挑战BOSS,在地图界面中选择相邻地区的BOSS，点击挑战按钮即可开始挑战，发车收益达到目标即可战胜BOSS，战胜BOSS后可以购买这个地区的城市。发车收益累计1300金币即可战胜BOSS。,1300,0,0,0,0,0,0,0,0,1,2,5714,
4,4,3,购买1个1星城市,购买一个1星城市即可完成任务，1城市只能停靠1星机车，购买车站页面和车站内左上角会显示车站星级。,1,1,0,0,0,0,0,0,0,2,3,5689,
5,4,0,启用一辆机车,在车站内点击“仓库”按钮，在进入“封存车”页面，点击“启用”按钮即可完成任务，启用的机车将直接出现在车站中。,1,25,0,0,0,0,0,0,0,2,3,5680,
6,4,8,铁路大亨之路2：挑战BOSS,在地图界面中选择相邻地区的BOSS，点击挑战按钮即可开始挑战，发车收益达到目标即可战胜BOSS，战胜BOSS后可以购买这个地区的城市。发车收益累计2600金币即可战胜BOSS。,2600,0,0,0,0,0,0,0,0,2,3,5719,
7,4,0,购买一个车库,点击界面下方“火车车库”按钮，进入到车库界面后选择右下方的“购买车库”按钮，即可购买车库。,1,2,0,0,0,0,0,0,0,3,4,5689,
8,4,3,购买1个1星城市,购买一个1星城市即可完成任务，1城市只能停靠1星机车，购买车站页面和车站内左上角会显示车站星级。,1,1,0,0,0,0,0,0,0,3,4,5684,
9,4,0,启用一辆机车,在车站内点击“仓库”按钮，在进入“封存车”页面，点击“启用”按钮即可完成任务，启用的机车将直接出现在车站中。,1,25,0,0,0,0,0,0,0,3,4,5693,
10,4,8,铁路大亨之路3：挑战BOSS,在地图界面中选择相邻地区的BOSS，点击挑战按钮即可开始挑战，发车收益达到目标即可战胜BOSS，战胜BOSS后可以购买这个地区的城市。发车收益累计7000金币即可战胜BOSS。,7000,0,0,0,0,0,0,0,0,3,4,5710,
11,4,0,购买一个车库,点击界面下方“火车车库”按钮，进入到车库界面后选择右下方的“购买车库”按钮，即可购买车库。,1,2,0,0,0,0,0,0,0,4,5,5681,
12,4,3,购买1个2星城市,购买一个2星城市即可完成任务，1城市只能停靠1星机车和2星机车，购买车站页面和车站内左上角都会显示车站星级。,1,2,0,0,0,0,0,0,0,4,5,5693,
13,4,0,启用一辆机车,在车站内点击“仓库”按钮，在进入“封存车”页面，点击“启用”按钮即可完成任务，启用的机车将直接出现在车站中。,1,25,0,0,0,0,0,0,0,4,5,5681,
14,4,8,铁路大亨之路4：挑战BOSS,在地图界面中选择相邻地区的BOSS，点击挑战按钮即可开始挑战，发车收益达到目标即可战胜BOSS，战胜BOSS后可以购买这个地区的城市。发车收益累计12000金币即可战胜BOSS。,12000,0,0,0,0,0,0,0,0,4,5,5711,
15,4,0,购买一个车库,点击界面下方“火车车库”按钮，进入到车库界面后选择右下方的“购买车库”按钮，即可购买车库。,1,2,0,0,0,0,0,0,0,5,6,5681,
16,4,0,启用一辆机车,在车站内点击“仓库”按钮，在进入“封存车”页面，点击“启用”按钮即可完成任务，启用的机车将直接出现在车站中。,1,25,0,0,0,0,0,0,0,5,6,5693,
17,4,3,购买1个2星城市,购买一个2星城市即可完成任务，1城市只能停靠1星机车和2星机车，购买车站页面和车站内左上角都会显示车站星级。,1,2,0,0,0,0,0,0,0,5,6,5682,
18,4,8,铁路大亨之路5：挑战BOSS,在地图界面中选择相邻地区的BOSS，点击挑战按钮即可开始挑战，发车收益达到目标即可战胜BOSS，战胜BOSS后可以购买这个地区的城市。发车收益累计18000金币即可战胜BOSS。,18000,0,0,0,0,0,0,0,0,5,6,5715,
19,4,0,购买一个车库,点击界面下方“火车车库”按钮，进入到车库界面后选择右下方的“购买车库”按钮，即可购买车库。,1,2,0,0,0,0,0,0,0,6,7,5679,
20,4,0,启用一辆机车,在车站内点击“仓库”按钮，在进入“封存车”页面，点击“启用”按钮即可完成任务，启用的机车将直接出现在车站中。,1,25,0,0,0,0,0,0,0,6,7,5693,
21,4,3,购买1个2星城市,购买一个2星城市即可完成任务，1城市只能停靠1星机车和2星机车，购买车站页面和车站内左上角都会显示车站星级。,1,2,0,0,0,0,0,0,0,6,7,5678,
22,4,8,铁路大亨之路6：挑战BOSS,在地图界面中选择相邻地区的BOSS，点击挑战按钮即可开始挑战，发车收益达到目标即可战胜BOSS，战胜BOSS后可以购买这个地区的城市。发车收益累计20000金币即可战胜BOSS。,20000,0,0,0,0,0,0,0,0,6,7,5716,
23,4,0,购买一个车库,点击界面下方“火车车库”按钮，进入到车库界面后选择右下方的“购买车库”按钮，即可购买车库。,1,2,0,0,0,0,0,0,0,7,8,5683,
24,4,0,启用一辆机车,在车站内点击“仓库”按钮，在进入“封存车”页面，点击“启用”按钮即可完成任务，启用的机车将直接出现在车站中。,1,25,0,0,0,0,0,0,0,7,8,5697,
25,4,4,运输一个点券客货,车站内有几率刷新出绿色名字的客货，运输这些客货到目的地即可完成任务，运输绿色名字的客货可以获得点券，每天绿色客货的数量是有限的，刷完当天将不会出现，每天0点重置,1,8,0,0,0,0,0,0,0,7,8,5697,
26,4,8,铁路大亨之路7：挑战BOSS,在地图界面中选择相邻地区的BOSS，点击挑战按钮即可开始挑战，发车收益达到目标即可战胜BOSS，战胜BOSS后可以购买这个地区的城市。发车收益累计30000金币即可战胜BOSS。,30000,0,0,0,0,0,0,0,0,7,8,5705,
27,4,0,购买一个车库,点击界面下方“火车车库”按钮，进入到车库界面后选择右下方的“购买车库”按钮，即可购买车库。,1,2,0,0,0,0,0,0,0,8,9,5691,
29,4,0,启用一辆机车,在车站内点击“仓库”按钮，在进入“封存车”页面，点击“启用”按钮即可完成任务，启用的机车将直接出现在车站中。,1,25,0,0,0,0,0,0,0,7,8,5694,
30,4,8,铁路大亨之路8：挑战BOSS,在地图界面中选择相邻地区的BOSS，点击挑战按钮即可开始挑战，发车收益达到目标即可战胜BOSS，战胜BOSS后可以购买这个地区的城市。发车收益累计50000金币即可战胜BOSS。,50000,0,0,0,0,0,0,0,0,8,9,5708,
